Hiragana,Romaji,Meaning,Example 1 JP,Example 1 EN,Example 2 JP,Example 2 EN
浴びる,abiru,to bathe; to shower,シャワーを浴びます。,I take a shower.,朝、冷たい水を浴びました。,I took a cold shower in the morning.
上げる,ageru,to raise; to give,手を上げてください。,Please raise your hand.,母に花を上げました。,I gave flowers to my mother.
開ける,akeru,to open (transitive),プレゼントを開けます。,I open the present.,窓を開けて空気を入れましょう。,Let's open the window and let in some air.
開く,aku,to open (intransitive),花が開きました。,The flower opened.,店が十時に開きます。,The store opens at ten o'clock.
洗う,arau,to wash,手を洗います。,I wash my hands.,車を洗いました。,I washed the car.
在る,aru,to exist (inanimate),机の上に本があります。,There is a book on the desk.,公園に大きな木があります。,There is a big tree in the park.
有る,aru,to exist (inanimate),時間があります。,I have time.,今日は宿題がありません。,There's no homework today.
歩く,aruku,to walk,毎日三十分歩きます。,I walk for thirty minutes every day.,駅まで歩きました。,I walked to the station.
遊ぶ,asobu,to play,友達と遊びます。,I play with friends.,公園で子供たちが遊んでいます。,Children are playing in the park.
会う,au,to meet,友達と会います。,I meet with friends.,駅で会いましょう。,Let's meet at the station.
勉強する,benkyou suru,to study,毎晩二時間勉強します。,I study for two hours every night.,試験のために勉強しています。,I'm studying for the exam.
違う,chigau,to differ; to be wrong,答えが違います。,The answer is wrong.,私の考えとは違います。,It differs from my thinking.
出す,dasu,to take out,財布からお金を出します。,I take money out of my wallet.,ゴミを出してください。,Please take out the trash.
出かける,dekakeru,to go out,買い物に出かけます。,I go out shopping.,朝早く出かけました。,I went out early in the morning.
出来る,dekiru,to be able to,日本語が出来ます。,I can speak Japanese.,料理が出来ますか。,Can you cook?
電話する,denwa suru,to call (phone),母に電話します。,I call my mother.,後で電話します。,I'll call you later.
出る,deru,to leave; to go out,家を七時に出ます。,I leave home at seven o'clock.,会議に出ます。,I attend the meeting.
吹く,fuku,to blow,風が強く吹いています。,The wind is blowing strongly.,ろうそくを吹き消します。,I blow out the candle.
降る,furu,to fall (rain/snow),雨が降っています。,It's raining.,明日雪が降るでしょう。,It will probably snow tomorrow.
入る,hairu,to enter,部屋に入ります。,I enter the room.,お風呂に入ります。,I take a bath.
始まる,hajimaru,to begin,映画が始まります。,The movie begins.,授業が九時に始まります。,Class begins at nine o'clock.
履く,haku,to wear (shoes/pants),新しい靴を履きます。,I wear new shoes.,ジーンズを履いています。,I'm wearing jeans.
話す,hanasu,to speak,日本語を話します。,I speak Japanese.,友達と長時間話しました。,I talked with my friend for a long time.
晴れる,hareru,to clear up (weather),明日は晴れるでしょう。,It will probably clear up tomorrow.,雨が止んで晴れました。,The rain stopped and it cleared up.
貼る・張る,haru,to stick; to paste,壁にポスターを貼ります。,I stick a poster on the wall.,封筒に切手を貼りました。,I stuck a stamp on the envelope.
