Hiragana,Romaji,Meaning,section,chapter
あき,秋,Autumn,1,Nouns
あさ,朝,morning,2,Nouns
あさごはん,朝ご飯,breakfast,3,Nouns
あさって,明後日,day after tomorrow,4,Nouns
あし,足,"foot, leg",5,Nouns
あした,明日,tomorrow,6,Nouns
あたま,頭,head,7,Nouns
あと,後,after,1,Nouns
あに,兄,older brother (polite),2,Nouns
あね,姉,older sister (polite),3,Nouns
アパート,,apartment,4,Nouns
あめ,雨,rain,5,Nouns
あめ,飴,(hard) candy,6,Nouns
アメリカ,,the United States,7,Nouns
いえ,家,house,1,Nouns
いざかや,居酒屋,izakaya (Japanese style restaurant),2,Nouns
いしゃ,医者,doctor,3,Nouns
いす,椅子,chair,4,Nouns
いちにち,一日,one day (duration),5,Nouns
いちばん,一番,"best, first",6,Nouns
いっしょ,一緒,together,7,Nouns
いぬ,犬,dog,1,Nouns
いま,今,now,2,Nouns
いみ,意味,meaning,3,Nouns
いもうと,妹,younger sister,4,Nouns
いりぐち,入口,entrance,5,Nouns
いろ,色,color,6,Nouns
いろいろ,,various,7,Nouns
インターネット,,internet,1,Nouns
うえ,上,above,2,Nouns
うけつけ,受付,reception (desk),3,Nouns
うしろ,後ろ,behind,4,Nouns
うた,歌,song,5,Nouns
うち,家,house (one's own),6,Nouns
うみ,海,"sea, beach",7,Nouns
うわぎ,上着,jacket,1,Nouns
え,絵,"picture, drawing",2,Nouns
えいが,映画,movie,3,Nouns
えいがかん,映画館,movie theater,4,Nouns
えいご,英語,English (language),5,Nouns
えき,駅,station,6,Nouns
エレベーター,,elevator,7,Nouns
えん,円,yen (Japanese currency),1,Nouns
えんぴつ,鉛筆,pencil,2,Nouns
おおぜい,大勢,crowd,3,Nouns
おかあさん,お母さん,mother,4,Nouns
おかし,お菓子,sweets,5,Nouns
おかね,お金,money,6,Nouns
おさけ,お酒,alcohol,7,Nouns
おじいさん,,"grandfather, old man",1,Nouns
おじさん,伯父/叔父さん,"uncle, middle-aged man",2,Nouns
おちゃ,お茶,(green) tea,3,Nouns
おっと,夫,husband,4,Nouns
おてあらい,お手洗い,"toilet, bathroom",5,Nouns
おてら,お寺,temple,6,Nouns
おとうさん,お父さん,father,7,Nouns
おとうと,弟,younger brother,1,Nouns
おとこ,男,man,2,Nouns
おとこのこ,男の子,boy,3,Nouns
おととい,一昨日,day before yesterday,4,Nouns
おととし,一昨年,year before last,5,Nouns
おとな,大人,adult,6,Nouns
おなか,お腹,stomach,7,Nouns
おなじ,同じ,same,1,Nouns
おにいさん,お兄さん,older brother (polite),2,Nouns
おねえさん,お姉さん,older sister (polite),3,Nouns
おばあさん,,"grandmother, old woman",4,Nouns
おばさん,伯母/叔母さん,"aunt, middle-aged woman",5,Nouns
おんがく,音楽,music,6,Nouns
おんな,女,woman,7,Nouns
おんなのこ,女の子,girl,1,Nouns
がいこく,外国,foreign country,2,Nouns
がいこくじん,外国人,foreigner,3,Nouns
かいしゃ,会社,"company, corporation",4,Nouns
かいだん,階段,stairs,5,Nouns
かいもの,買い物,shopping,6,Nouns
かお,顔,face (person),7,Nouns
かぎ,鍵,key,1,Nouns
がくせい,学生,student,2,Nouns
かさ,傘,umbrella,3,Nouns
かぜ,風,wind,4,Nouns
かぜ,風邪,cold (illness),5,Nouns
かぞく,家族,family,6,Nouns
カタカナ,片仮名,katakana,7,Nouns
がっこう,学校,school,1,Nouns
かてい,家庭,"home, household",2,Nouns
かど,角,"corner, edge",3,Nouns
かのじょ,彼女,girlfriend,4,Nouns
かばん,,bag,5,Nouns
かびん,花瓶,(flower) vase,6,Nouns
かみ,紙,paper,7,Nouns
カメラ,,camera,1,Nouns
からだ,体,body,2,Nouns
カレー,,curry,3,Nouns
かれし,彼氏,boyfriend,4,Nouns
カレンダー,,calendar,5,Nouns
かわ,川,river,6,Nouns
がわ,側,side,7,Nouns
かんじ,漢字,kanji,1,Nouns
き,木,tree,2,Nouns
きた,北,north,3,Nouns
ギター,,guitar,4,Nouns
きっさてん,喫茶店,coffee shop,5,Nouns
キッチン,,kitchen,6,Nouns
きって,切手,stamp (postage),7,Nouns
きっぷ,切符,ticket (transportation),1,Nouns
きのう,昨日,yesterday,2,Nouns
ぎゅうにく,牛肉,beef,3,Nouns
ぎゅうにゅう,牛乳,milk,4,Nouns
きょう,今日,today,5,Nouns
きょうしつ,教室,classroom,6,Nouns
きょうだい,兄弟,siblings,7,Nouns
きょねん,去年,last year,1,Nouns
きれい,綺麗,"pretty, clean",2,Nouns
キロ,,"kg, km",3,Nouns
ぎんこう,銀行,bank,4,Nouns
くうこう,空港,airport,5,Nouns
くすり,薬,medicine,6,Nouns
くだもの,果物,fruit,7,Nouns
くち,口,mouth,1,Nouns
くつ,靴,shoes,2,Nouns
くつした,靴下,socks,3,Nouns
くつや,靴屋,shoe store,4,Nouns
くに,国,country,5,Nouns
くもり,曇り,cloudy weather,6,Nouns
クラス,,class,7,Nouns
グラム,,gram,1,Nouns
くるま,車,car,2,Nouns
けいかん,警官,policeman,3,Nouns
けさ,今朝,this morning,4,Nouns
けしごむ,消しゴム,eraser,5,Nouns
けっこん,結婚,marriage,6,Nouns
げんかん,玄関,entranceway,7,Nouns
こうえん,公園,(public) park,1,Nouns
こうさてん,交差点,intersection,2,Nouns
こうちゃ,紅茶,black tea,3,Nouns
こうばん,交番,police box,4,Nouns
こえ,声,voice,5,Nouns
コート,,coat,6,Nouns
コーヒー,,coffee,7,Nouns
ごご,午後,"afternoon, PM",1,Nouns
ごぜん,午前,"morning, AM",2,Nouns
コップ,,cup,3,Nouns
ことし,今年,this year,4,Nouns
ことば,言葉,word,5,Nouns
こども,子供,child,6,Nouns
ごはん,御飯,"cooked rice, meal",7,Nouns
こんげつ,今月,this month,1,Nouns
こんしゅう,今週,this week,2,Nouns
こんばん,今晩,tonight,3,Nouns
コンビニ,,convenience store,4,Nouns
さいご,最後,last,5,Nouns
さいふ,財布,wallet,6,Nouns
さかな,魚,fish,7,Nouns
さき,先,"tip, ahead, first",1,Nouns
さくぶん,作文,"composition, writing",2,Nouns
サッカー,,soccer,3,Nouns
ざっかや,雑貨屋,general store,4,Nouns
ざっし,雑誌,magazine,5,Nouns
さとう,砂糖,sugar,6,Nouns
さら,皿,plate,7,Nouns
さらいねん,再来年,year after next,1,Nouns
サラダ,,salad,2,Nouns
さんぽ,散歩,"walk, stroll",3,Nouns
しお,塩,salt,4,Nouns
じかん,時間,time,5,Nouns
しごと,仕事,work,6,Nouns
じしょ,辞書,dictionary,7,Nouns
しずか,静か,quiet,1,Nouns
した,下,below,2,Nouns
しつもん,質問,question,3,Nouns
じてんしゃ,自転車,bicycle,4,Nouns
じどうしゃ,自動車,automobile,5,Nouns
しゃしん,写真,photo,6,Nouns
シャツ,,"shirt, singlet",7,Nouns
シャワー,,shower,1,Nouns
ジュース,,juice,2,Nouns
しゅうまつ,週末,weekend,3,Nouns
じゅぎょう,授業,lesson,4,Nouns
しゅくだい,宿題,homework,5,Nouns
しょうゆ,醤油,soy sauce,6,Nouns
しょくどう,食堂,cafeteria,7,Nouns
じんじゃ,神社,shrine,1,Nouns
しんぶん,新聞,newspaper,2,Nouns
スーパー,,supermarket,3,Nouns
スカート,,skirt,4,Nouns
すしや,寿司屋,sushi restaurant,5,Nouns
スプーン,,spoon,6,Nouns
スポーツ,,sport,7,Nouns
ズボン,,trousers,1,Nouns
スマホ,,mobile phone,2,Nouns
スリッパ,,slippers,3,Nouns
せ,背,height,4,Nouns
せいと,生徒,pupil,5,Nouns
セーター,,sweater,6,Nouns
せっけん,石鹸,soap,7,Nouns
せびろ,背広,business suit,1,Nouns
ゼロ,,zero,2,Nouns
せんげつ,先月,last month,3,Nouns
せんしゅう,先週,last week,4,Nouns
せんせい,先生,teacher,5,Nouns
せんたく,洗濯,"washing, laundry",6,Nouns
ぜんぶ,全部,all,7,Nouns
そうじ,掃除,cleaning,1,Nouns
そと,外,"outside, exterior",2,Nouns
そば,側,"near, close",3,Nouns
そら,空,sky,4,Nouns
だいがく,大学,university,5,Nouns
たいしかん,大使館,embassy,6,Nouns
だいじょうぶ,大丈夫,"safe, all right",7,Nouns
だいどころ,台所,kitchen,1,Nouns
タクシー,,taxi,2,Nouns
たて,縦,vertical height,3,Nouns
たてもの,建物,building,4,Nouns
タバコ,,tobacco,5,Nouns
たべもの,食べ物,food,6,Nouns
たまご,卵,egg,7,Nouns
たんじょうび,誕生日,birthday,1,Nouns
ちかてつ,地下鉄,subway,2,Nouns
ちきゅう,地球,Earth,3,Nouns
ちず,地図,map,4,Nouns
ちち,父,(one's own) father (polite),5,Nouns
ちゃいろ,茶色,brown,6,Nouns
ちゅうごく,中国,China,7,Nouns
つぎ,次,next,1,Nouns
つくえ,机,desk,2,Nouns
つま,妻,wife,3,Nouns
て,手,hand,4,Nouns
テープ,,tape,5,Nouns
テーブル,,table,6,Nouns
てがみ,手紙,letter,7,Nouns
でぐち,出口,exit,1,Nouns
デザート,,dessert,2,Nouns
テスト,,test,3,Nouns
デパート,,department store,4,Nouns
テレビ,,television,5,Nouns
てんき,天気,weather,6,Nouns
でんき,電気,"electricity, (electric) light",7,Nouns
でんしゃ,電車,train,1,Nouns
でんわ,電話,telephone,2,Nouns
と,戸,Japanese style door,3,Nouns
ドア,,door,4,Nouns
トイレ,,toilet,5,Nouns
どうぶつ,動物,animal,6,Nouns
とき,時,"time, when",7,Nouns
とけい,時計,"watch, clock",1,Nouns
ところ,所,place,2,Nouns
とし,年,"year, age",3,Nouns
としょかん,図書館,library,4,Nouns
どちらでも,,"either, whichever",5,Nouns
となり,隣,"next to, neighbor",6,Nouns
ともだち,友達,friend,7,Nouns
とり,鳥,bird,1,Nouns
とりにく,鶏肉,chicken meat,2,Nouns
ナイフ,,knife,3,Nouns
なか,中,inside,4,Nouns
なつ,夏,summer,5,Nouns
なつやすみ,夏休み,summer holiday,6,Nouns
なにも〜ない,何も〜ない,nothing 〜,7,Nouns
なまえ,名前,name,1,Nouns
にく,肉,meat,2,Nouns
にし,西,west,3,Nouns
にばん,二番,second,4,Nouns
にほん,日本,Japan,5,Nouns
にほんご,日本語,Japanese (language),6,Nouns
にほんしゅ,日本酒,sake (Japanese alcohol),7,Nouns
にもつ,荷物,luggage,1,Nouns
ニュース,,news,2,Nouns
にわ,庭,garden,3,Nouns
ネクタイ,,"tie, necktie",4,Nouns
ねこ,猫,cat,5,Nouns
ノート,,notebook,6,Nouns
のみもの,飲み物,beverage,7,Nouns
は,歯,tooth,1,Nouns
パーティー,,party,2,Nouns
はいざら,灰皿,ashtray,3,Nouns
はがき,,postcard,4,Nouns
はこ,箱,box,5,Nouns
はし,橋,bridge,6,Nouns
はし,箸,chopsticks,7,Nouns
はじめ,"初め, 始め","beginning, start",1,Nouns
バス,,bus,2,Nouns
バスてい,バス停,bus stop,3,Nouns
パソコン,,computer,4,Nouns
バター,,butter,5,Nouns
はたち,二十歳,"20 years old, 20th year",6,Nouns
はな,花,flower,7,Nouns
はな,鼻,nose,1,Nouns
はなし,話,story,2,Nouns
はなび,花火,fireworks,3,Nouns
はなや,花屋,flower shop,4,Nouns
はは,母,(one's own) mother (polite),5,Nouns
はる,春,spring,6,Nouns
はん,半,half,7,Nouns
ばん,晩,evening,1,Nouns
パン,,bread,2,Nouns
ハンカチ,,handkerchief,3,Nouns
ばんごう,番号,number,4,Nouns
ばんごはん,晩ご飯,dinner,5,Nouns
はんぶん,半分,half,6,Nouns
ビール,,beer,7,Nouns
ひがし,東,east,1,Nouns
ひこうき,飛行機,airplane,2,Nouns
ひだり,左,left (direction),3,Nouns
ひと,人,person,4,Nouns
ひとり,一人,"one person, alone",5,Nouns
びょういん,病院,hospital,6,Nouns
びょうき,病気,"illness, disease",7,Nouns
ひらがな,平仮名,hiragana,1,Nouns
ひる,昼,noon,2,Nouns
ひるごはん,昼ご飯,lunch,3,Nouns
ふうとう,封筒,envelope,4,Nouns
プール,,swimming pool,5,Nouns
フォーク,,fork,6,Nouns
ふく,服,clothes,7,Nouns
ふくや,服屋,clothing store,1,Nouns
ぶたにく,豚肉,pork,2,Nouns
ふたり,二人,two people,3,Nouns
ふゆ,冬,winter,4,Nouns
ふろ,風呂,"bath, bathroom",5,Nouns
ぶんしょう,文章,"writing, text",6,Nouns
ページ,,page,7,Nouns
ベッド,,bed,1,Nouns
ペット,,pet,2,Nouns
へや,部屋,room,3,Nouns
へん,辺,"area, side",4,Nouns
ペン,,pen,5,Nouns
べんきょう,勉強,study,6,Nouns
べんとう,弁当,bento (Japanese box lunch),7,Nouns
ほう,方,way,1,Nouns
ぼうし,帽子,hat,2,Nouns
ボールペン,,(ball-point) pen,3,Nouns
ほか,他,other,4,Nouns
ポケット,,pocket,5,Nouns
ポスト,,postbox,6,Nouns
