Japanese sentence,Romaji,Meaning,section,chapter
人,ひと,person,N5,1
一,いち,one,N5,1
日,ひ,day/sun,N5,1
大,おおきい,big,N5,1
年,とし,year,N5,1
中,なか,inside,N5,1
子,こ,child,N5,1
見,みる,to see,N5,1
国,くに,country,N5,1
上,うえ,above,N5,1
分,わかる,to understand,N5,1
生,いきる,to live,N5,1
行,いく,to go,N5,1
二,に,two,N5,1
間,あいだ,between,N5,1
時,とき,time,N5,1
気,き,spirit/feeling,N5,1
十,じゅう,ten,N5,1
女,おんな,woman,N5,1
三,さん,three,N5,1
前,まえ,front/before,N5,1
入,はいる,to enter,N5,1
小,ちいさい,small,N5,1
後,あと,after/behind,N5,1
長,ながい,long,N5,1
下,した,below,N5,1
学,まなぶ,to learn,N5,1
月,つき,moon/month,N5,1
何,なに,what,N5,1
来,くる,to come,N5,1
話,はなす,to speak,N5,1
山,やま,mountain,N5,1
高,たかい,high/expensive,N5,1
今,いま,now,N5,1
書,かく,to write,N5,1
五,ご,five,N5,1
名,な,name,N5,1
金,かね,money/gold,N5,1
男,おとこ,man,N5,1
外,そと,outside,N5,1
四,よん,four,N5,1
先,さき,ahead/previous,N5,1
川,かわ,river,N5,1
東,ひがし,east,N5,1
聞,きく,to listen/hear,N5,1
語,ご,language/word,N5,1
九,きゅう,nine,N5,1
食,たべる,to eat,N5,1
八,はち,eight,N5,1
水,みず,water,N5,1
天,てん,heaven/sky,N5,1
木,き,tree/wood,N5,1
六,ろく,six,N5,1
万,まん,ten thousand,N5,1
白,しろ,white,N5,1
七,なな,seven,N5,1
円,えん,yen/circle,N5,1
電,でん,electricity,N5,1
父,ちち,father,N5,1
北,きた,north,N5,1
車,くるま,car,N5,1
母,はは,mother,N5,1
半,はん,half,N5,1
百,ひゃく,hundred,N5,1
土,つち,soil/earth,N5,1
西,にし,west,N5,1
読,よむ,to read,N5,1
千,せん,thousand,N5,1
校,こう,school (suffix),N5,1
右,みぎ,right,N5,1
南,みなみ,south,N5,1
左,ひだり,left,N5,1
友,とも,friend,N5,1
火,ひ,fire,N5,1
毎,まい,every,N5,1
雨,あめ,rain,N5,1
休,やすむ,to rest,N5,1
午,うま,noon (sign),N5,1
言,いう,to say,N4,1
手,て,hand,N4,1
自,みずから,self,N4,1
者,もの,person (professional),N4,1
事,こと,thing/matter,N4,1
思,おもう,to think,N4,1
会,あう,to meet,N4,1
家,いえ,house,N4,1
的,てき,target/suffix -ish,N4,1
方,かた,direction/person,N4,1
地,ち,ground/earth,N4,1
目,め,eye,N4,1
場,ば,place,N4,1
代,かわる,substitute/generation,N4,1
私,わたし,I/me,N4,1
立,たつ,to stand,N4,1
物,もの,thing,N4,1
田,た,rice field,N4,1
体,からだ,body,N4,1
動,うごく,to move,N4,1
社,やしろ,shrine/company,N4,1
知,しる,to know,N4,1
理,り,reason/logic,N4,1
同,おなじ,same,N4,1
心,こころ,heart/mind,N4,1
発,たつ,departure/emit,N4,1
作,つくる,to make,N4,1
新,あたらしい,new,N4,1
世,よ,world/generation,N4,1
度,たび,degree/time,N4,1
明,あかるい,bright,N4,1
力,ちから,power,N4,1
意,い,intention,N4,1
用,もちいる,to use,N4,1
主,ぬし,master/main,N4,1
通,とおる,to pass through,N4,1
文,ふみ,sentence/text,N4,1
屋,や,shop/roof,N4,1
業,わざ,business/art,N4,1
持,もつ,to hold,N4,1
道,みち,way/road,N4,1
身,み,body/self,N4,1
不,ふ,not/negative prefix,N4,1
口,くち,mouth,N4,1
多,おおい,many,N4,1
野,の,field,N4,1
考,かんがえる,to think,N4,1
