Kanji,Japanese Sentence,Romaji,Meaning
一,私は一つ買います。,Watashi wa hitotsu kaimasu.,I will buy one.
二,二時です。,Niji desu.,It is two o'clock.
三,三人います。,Sannin imasu.,There are three people.
四,四個ください。,Yonko kudasai.,Please give me four pieces.
五,五月生まれです。,Gogatsu umare desu.,I was born in May (the fifth month).
六,六匹の猫。,Rokuhiki no neko.,Six cats.
七,七曜日あります。,Nanayōbi arimasu.,There are seven days of the week.
八,八十円です。,Hachijūen desu.,It is eighty yen.
九,九時に寝ます。,Kuji ni nemasu.,I go to bed at nine o'clock.
十,十個入りです。,Jūkairi desu.,It contains ten pieces.
百,これは百円です。,Kore wa hyakuen desu.,This is one hundred yen.
千,千円札です。,Sen'ensatsu desu.,It is a one thousand yen bill.
万,一万円あります。,Ichi man en arimasu.,I have ten thousand yen.
円,五百円玉。,Gohyakuendama.,A five hundred yen coin.
年,来年行きます。,Rainen ikimasu.,I will go next year.
月,今月は何月ですか。,Kongetsu wa nan gatsu desu ka.,What month is it this month?
日,明日は休みです。,Ashita wa yasumi desu.,Tomorrow is a day off.
時,何時ですか。,Nan ji desu ka.,What time is it?
分,五分待ってください。,Gofun matte kudasai.,Please wait five minutes.
週,先週、旅行しました。,"Sen shū, ryokō shimashita.",I traveled last week.
人,あの人は誰ですか。,Ano hito wa dare desu ka.,Who is that person?
名,お名前は何ですか。,O-namae wa nan desu ka.,What is your name?
子,子どもがいます。,Kodomo ga imasu.,I have a child.
女,女の子。,Onna no ko.,A girl (female child).
男,男の人。,Otoko no hito.,A man (male person).
先,先生、おはようございます。,"Sensei, ohayō gozaimasu.","Good morning, teacher."
生,(See 先 for 生 example),,
私,私は学生です。,Watashi wa gakusei desu.,I am a student.
父,父は会社員です。,Chichi wa kaishain desu.,My father is an office worker.
母,母は家にいます。,Haha wa ie ni imasu.,My mother is at home.
友,友だちと会います。,Tomodachi to aimasu.,I will meet a friend.
彼,彼は私の兄です。,Kare wa watashi no ani desu.,He is my older brother.
彼女,彼女は医者です。,Kanojo wa isha desu.,She is a doctor.
学,学生です。,Gakusei desu.,I am a student (learning person).
校,学校へ行きます。,Gakkō e ikimasu.,I will go to school.
大,大きい犬。,Ōkii inu.,A big dog.
小,小さい猫。,Chīsai neko.,A small cat.
中,箱の中にあります。,Hako no naka ni arimasu.,It is inside the box.
本,本を読みます。,Hon o yomimasu.,I read a book.
語,日本語を話します。,Nihongo o hanashimasu.,I speak Japanese (language).
何,何をしますか。,Nani o shimasu ka.,What will you do?
山,富士山に登ります。,Fujisan ni noborimasu.,I will climb Mt. Fuji.
川,この川は長いです。,Kono kawa wa nagai desu.,This river is long.
花,花が咲いています。,Hana ga saite imasu.,Flowers are blooming.
草,草の上で寝ます。,Kusa no ue de nemasu.,I will sleep on the grass.
木,木の下にいます。,Ki no shita ni imasu.,I am under the tree.
林,林の中を歩きます。,Hayashi no naka o arukimasu.,I will walk in the wood (copse).
森,森は静かです。,Mori wa shizuka desu.,The forest is quiet.
天,天気がいいです。,Tenki ga ii desu.,The weather (sky-spirit) is good.
空,空が青いです。,Sora ga aoi desu.,The sky is blue.
気,気持ちがいいです。,Kimochi ga ii desu.,I feel good (spirit/feeling is good).
